舞台,ぶたい
有能,ゆうのう
不自由,ふじゆう
事情,じじょう
内容,ないよう
条件,じょうけん
破る,やぶる
戦い,たたかい
言わば,いわば
程度,ていど
本物,ほんもの
従って,したがって
役,やく
次々,つぎつぎ
数える,かぞえる
不満,ふまん
減る,へる
会員,かいいん
都会,とかい
芝生,しばふ
貴重,きちょう
